id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,id_play,ranking
1,VCTM3,p3session3data,3,8640489920,25,25,25,1,21,1
2,VCTM3,p3session3data,3,5896017922,26,26,26,1,6,1
3,VCTM3,p3session3data,3,7285394057,6,6,6,1,10,2
4,VCTM3,p3session3data,3,8780493416,6,6,6,1,9,2
5,VCTM3,p3session3data,3,7778430228,8,8,8,1,2,2
6,VCTM3,p3session3data,3,1980113770,8,8,8,1,3,2
7,VCTM3,p3session3data,3,8659870355,9,9,9,1,12,2
8,VCTM3,p3session3data,3,4326117282,9,9,9,1,11,2
9,VCTM3,p3session3data,3,5940284493,10,10,10,1,24,2
10,VCTM3,p3session3data,3,2092122399,10,10,10,1,27,2
11,VCTM3,p3session3data,3,8318144254,8,12,12,1,17,3
12,VCTM3,p3session3data,3,2268325067,12,12,12,1,16,3
13,VCTM3,p3session3data,3,4217674473,11,12,12,1,15,3
14,VCTM3,p3session3data,3,5434840864,11,11,11,1,31,4
15,VCTM3,p3session3data,3,7935492887,11,11,11,1,30,4
16,VCTM3,p3session3data,3,7569427615,11,11,11,1,29,4
17,VCTM3,p3session3data,3,6242701602,11,11,11,1,28,4
18,VCTM3,p3session3data,3,2796030302,10,10,30,1,,7
19,VCTM3,p3session3data,3,4645441142,11,30,30,1,33,7
20,VCTM3,p3session3data,3,1474789854,11,30,30,1,34,7
21,VCTM3,p3session3data,3,4329716890,8,30,30,1,,7
22,VCTM3,p3session3data,3,1531254326,13,18,30,1,,7
23,VCTM3,p3session3data,3,5053447158,7,30,30,1,,7
24,VCTM3,p3session3data,3,1446436501,8,30,30,1,,7
