id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,id_play,ranking
1,VCTM5,p3session4data,3,3988386972,1,1,1,1,1,1
2,VCTM5,p3session4data,3,1005243656,8,8,8,1,22,1
3,VCTM5,p3session4data,3,9216377667,11,11,11,1,4,1
4,VCTM5,p3session4data,3,9552935887,14,14,14,1,7,1
5,VCTM5,p3session4data,3,5873698857,10,24,24,1,9,1
6,VCTM5,p3session4data,3,7199699577,10,25,25,1,10,1
7,VCTM5,p3session4data,3,1108876965,27,27,27,1,,1
8,VCTM5,p3session4data,3,8770838178,7,20,22,1,,2
9,VCTM5,p3session4data,3,3381560601,12,12,22,1,14,2
10,VCTM5,p3session4data,3,9345446309,10,10,30,1,19,2
11,VCTM5,p3session4data,3,4037847170,10,30,30,1,17,2
12,VCTM5,p3session4data,3,7093242708,10,10,10,1,24,3
13,VCTM5,p3session4data,3,3216338204,10,10,10,1,,3
14,VCTM5,p3session4data,3,4314239466,10,10,10,1,25,3
