id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,id_play,ranking
1,VCTM5,p3session2data,3,3988386972,1,1,1,1,1,1
2,VCTM5,p3session2data,3,6346546297,6,6,6,1,3,1
3,VCTM5,p3session2data,3,2673650523,7,7,7,1,21,1
4,VCTM5,p3session2data,3,9216377667,11,11,11,1,,1
5,VCTM5,p3session2data,3,3197686757,12,13,13,1,,1
6,VCTM5,p3session2data,3,9552935887,14,14,14,1,25,1
7,VCTM5,p3session2data,3,4782109855,9,9,18,1,7,1
8,VCTM5,p3session2data,3,5653889337,21,21,21,1,9,1
9,VCTM5,p3session2data,3,5873698857,10,24,24,1,,1
10,VCTM5,p3session2data,3,7199699577,10,25,25,1,,1
11,VCTM5,p3session2data,3,6418046186,26,26,26,1,,1
12,VCTM5,p3session2data,3,1108876965,27,27,27,1,13,1
13,VCTM5,p3session2data,3,7013104509,9,9,9,1,14,2
14,VCTM5,p3session2data,3,4193453638,9,9,9,1,15,2
15,VCTM5,p3session2data,3,6892546454,10,12,12,1,17,2
16,VCTM5,p3session2data,3,4857792889,12,12,12,1,16,2
17,VCTM5,p3session2data,3,2455872846,8,8,15,1,27,2
18,VCTM5,p3session2data,3,7353253846,8,15,15,1,26,2
19,VCTM5,p3session2data,3,8005340493,26,28,28,1,18,2
20,VCTM5,p3session2data,3,3858788050,9,28,28,1,19,2
21,VCTM5,p3session2data,3,3381560601,12,12,22,1,29,3
22,VCTM5,p3session2data,3,8770838178,7,20,22,1,,3
23,VCTM5,p3session2data,3,8519255924,22,22,22,1,31,3
24,VCTM5,p3session2data,3,6857460167,8,8,8,1,40,5
25,VCTM5,p3session2data,3,1005243656,8,8,8,1,42,5
26,VCTM5,p3session2data,3,5631239304,8,8,8,1,36,5
27,VCTM5,p3session2data,3,9750850173,8,8,8,1,,5
28,VCTM5,p3session2data,3,7080211559,8,8,8,1,43,5
29,VCTM5,p3session2data,3,2189621527,10,10,10,1,50,8
30,VCTM5,p3session2data,3,7093242708,10,10,10,1,52,8
31,VCTM5,p3session2data,3,4473165659,11,11,10,1,56,8
32,VCTM5,p3session2data,3,3216338204,10,10,10,1,51,8
33,VCTM5,p3session2data,3,4314239466,10,10,10,1,46,8
34,VCTM5,p3session2data,3,8312786506,8,8,10,1,44,8
35,VCTM5,p3session2data,3,3810395041,8,8,10,1,53,8
36,VCTM5,p3session2data,3,3860850390,10,10,10,1,57,8
37,VCTM5,p3session2data,3,6118225115,10,30,30,1,71,8
38,VCTM5,p3session2data,3,9345446309,10,10,30,1,64,8
39,VCTM5,p3session2data,3,4037847170,10,30,30,1,60,8
40,VCTM5,p3session2data,3,5076996594,11,30,30,1,69,8
41,VCTM5,p3session2data,3,4190989736,12,30,30,1,70,8
42,VCTM5,p3session2data,3,9357092451,10,30,30,1,72,8
43,VCTM5,p3session2data,3,9767384409,11,30,30,1,63,8
44,VCTM5,p3session2data,3,9980426949,14,30,30,1,59,8
